"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-02","6.71",,"0.00","0.0","0.0","62","76","50","  220","  210","16.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-03","9.84",,"0.42","0.0","0.0","67","78","55","  310","  200","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-04","8.50",,"0.00","0.0","0.0","65","74","55","  250","  240","18.1","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-05","9.17",,"0.95","0.0","0.0","52","56","47","   80","   60","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-06","5.82",,"0.00","0.0","0.0","56","77","46","   50","   50","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-07","11.41",,"0.04","0.0","0.0","67","83","52","  200","  190","29.1","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-08","8.50",,"0.75","0.0","0.0","71","81","63","  200","  190","31.1","42.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-09","8.95",,"0.29","0.0","0.0","60","64","47","   40","   30","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-10","9.40",,"0.14","0.0","0.0","49","54","45","   20","   30","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-11","13.20",,"0.22","0.0","0.0","56","68","47","  280","  270","28.0","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-12","16.78",,"0.00","0.0","0.0","52","56","44","  270","  270","28.0","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-13","9.62",,"0.00","0.0","0.0","48","52","40","   50","   60","16.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-14","10.51",,"0.24","0.0","0.0","52","66","43","  140","  170","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-15","7.83",,"0.00","0.0","0.0","63","76","57","  260","  170","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-16","7.83",,"0.03","0.0","0.0","69","79","62","  170","  150","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-17","15.88",,"0.00","0.0","0.0","72","82","66","  190","  160","28.0","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-18","15.43",,"0.00","0.0","0.0","72","77","49","  270","  240","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-19","10.51",,"0.00","0.0","0.0","50","53","40","  310","  310","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-20","8.28",,"0.04","0.0","0.0","44","48","39","   20","   20","17.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-21","9.84",,"0.00","0.0","0.0","52","69","45","  290","  320","18.1","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-22","8.50",,"0.00","0.0","0.0","59","66","47","  350","  340","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-23","7.61",,"0.00","0.0","0.0","62","80","46","  190","  180","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-24","7.38",,"0.36","0.0","0.0","66","72","59","   90","  170","15.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-25","15.21",,"0.07","0.0","0.0","70","78","65","  200","  220","25.9","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-26","12.75",,"0.50","0.0","0.0","71","74","64","  200","  200","31.1","42.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-27","10.74",,"0.00","0.0","0.0","68","74","59","  280","  290","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-28","6.04",,"0.00","0.0","0.0","69","82","54","   90","   90","16.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-29","9.84",,"0.20","0.0","0.0","72","81","63","  220","  220","25.1","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-30","14.32",,"0.41","0.0","0.0","64","71","44","   20","   20","29.1","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-05-31","16.11",,"0.00","0.0","0.0","47","55","42","   20","   30","25.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-01","9.40",,"0.00","0.0","0.0","51","60","44","   50","   40","17.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-02","5.37",,"0.00","0.0","0.0","56","70","42","  110","  120","15.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-03","6.93",,"0.00","0.0","0.0","62","77","50","  130","  180","15.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-04","7.38",,"0.00","0.0","0.0","68","81","57","  190","  190","14.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-05","14.76",,"0.00","0.0","0.0","65","70","55","   10","   20","25.1","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-06","8.28",,"0.00","0.0","0.0","60","71","52","   40","   60","14.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-07","12.08",,"0.36","0.0","0.0","66","81","55","  210","  180","21.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-08","11.41",,"0.04","0.0","0.0","73","84","61","  340","  340","28.0","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-09","8.72",,"0.00","0.0","0.0","70","85","60","  230","  210","15.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-10","11.41",,"0.00","0.0","0.0","80","92","68","  250","  250","23.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-11","8.28",,"0.27","0.0","0.0","69","72","58","   40","   30","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-12","8.28",,"0.13","0.0","0.0","62","67","56","   30","   20","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-13","6.71",,"0.40","0.0","0.0","66","86","56","  130","  150","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-14","6.93",,"0.60","0.0","0.0","73","83","68","  260","  230","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-15","5.59",,"2.56","0.0","0.0","75","80","68","  350","  340","18.1","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-16","10.29",,"0.00","0.0","0.0","69","72","56","   20",,"14.1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-17","4.70",,"0.14","0.0","0.0","61","72","56","  190","  360","8.9","11.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-18","10.29",,"0.27","0.0","0.0","72","79","58","   10","   10","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-19","10.29",,"0.00","0.0","0.0","61","67","54","   40","   40","16.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-20","7.16",,"0.31","0.0","0.0","63","78","53","  160","  160","25.1","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-21","8.28",,"0.00","0.0","0.0","74","84","67","  270","  260","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-22","10.51",,"0.09","0.0","0.0","75","83","66","  200","  200","28.0","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-23","9.84",,"0.00","0.0","0.0","75","82","63","  330","  330","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-24","4.92",,"0.00","0.0","0.0","70","79","60","  270","  250","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-25","7.16",,"1.01","0.0","0.0","71","79","61","  360","  350","15.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-26","9.40",,"0.13","0.0","0.0","63","67","58","   40","   40","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-27","8.95",,"0.00","0.0","0.0","64","76","56","   40","   40","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-28","3.80",,"0.02","0.0","0.0","67","79","54","  180","  180","14.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-29","4.03",,"0.62","0.0","0.0","68","75","64","   80","   90","13.0","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-06-30","8.50",,"0.17","0.0","0.0","68","77","57","   40","  340","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-01","7.38",,"0.00","0.0","0.0","61","69","54","   60","   30","14.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-02","9.40",,"0.00","0.0","0.0","59","69","53","   40","   50","17.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-03","4.47",,"0.00","0.0","0.0","64","77","55","   60","   60","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-04","4.47",,"0.00","0.0","0.0","70","81","59","   70","  260","10.1","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-05","5.14",,"0.00","0.0","0.0","72","83","60","  180","  210","13.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-06","9.62",,"0.49","0.0","0.0","74","85","64","  280","  270","25.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-07","14.32",,"0.27","0.0","0.0","67","71","55","   30","   20","25.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-08","7.61",,"0.07","0.0","0.0","60","67","54","   70","   30","13.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-09","7.16",,"0.00","0.0","0.0","64","77","58","   20","   10","14.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-10","3.80",,"0.00","0.0","0.0","69","83","59","  100","   80","12.1","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-11","5.14",,"0.03","0.0","0.0","70","78","61","  140","  190","13.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-12","6.26",,"0.00","0.0","0.0","74","83","69","  130","  130","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-13","9.62",,"0.42","0.0","0.0","76","86","68","  320","  320","32.0","40.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-14","12.53",,"0.00","0.0","0.0","76","83","61","   10","   10","23.9","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-15","8.50",,"0.00","0.0","0.0","66","75","59","   20","   10","16.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-16","7.61",,"0.97","0.0","0.0","66","75","58","  150","  150","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-17","8.05",,"0.06","0.0","0.0","77","92","71","  290","  260","23.0","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-18","8.28",,"0.54","0.0","0.0","79","89","73","  150","   30","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-19","8.28",,"0.00","0.0","0.0","79","85","65","  300","  320","21.0","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-20","8.50",,"0.00","0.0","0.0","74","85","63","  260","  250","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-21","8.50",,"0.00","0.0","0.0","75","82","65","  340","  330","18.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-22","4.92",,"0.00","0.0","0.0","74","83","64","  100","   90","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-23","4.03",,"0.00","0.0","0.0","74","85","63","  100","   40","12.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-24","6.71",,"0.00","0.0","0.0","75","84","64","  200","  210","18.1","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-25","7.83",,"0.00","0.0","0.0","80","91","69","   60","   70","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-26","4.92",,"0.00","0.0","0.0","75","80","64","   70","   40","12.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-27","8.50",,"0.00","0.0","0.0","77","88","67","  110","  110","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-28","5.82",,"0.00","0.0","0.0","79","91","67","  140","  130","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-29","10.96",,"0.00","0.0","0.0","81","88","70","  330","  280","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-30","11.63",,"0.00","0.0","0.0","77","88","65","  300","  320","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-07-31","12.30",,"0.00","0.0","0.0","78","87","67","  320","  320","25.9","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-01","10.96",,"0.00","0.0","0.0","76","87","64","  250","  260","21.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-02","13.87",,"0.53","0.0","0.0","80","91","67","  260","  270","36.9","52.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-03","9.84",,"0.00","0.0","0.0","76","82","67","  310","  320","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-04","7.61",,"0.00","0.0","0.0","72","82","61","  290","  290","18.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-05","6.04",,"0.00","0.0","0.0","73","82","61","   70","   60","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-06","7.16",,"0.00","0.0","0.0","73","83","64","   70","  100","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-07","8.50",,"0.00","0.0","0.0","73","83","63","  190","  160","18.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-08","7.16",,"0.00","0.0","0.0","75","82","68","  330","  330","17.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-09","4.70",,"0.00","0.0","0.0","72","80","67","  180","  170","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-10","6.04",,"0.02","0.0","0.0","75","84","68","   10","   10","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-11","6.71",,"0.00","0.0","0.0","73","82","65","   40","   60","18.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-12","4.92",,"0.00","0.0","0.0","71","81","61","   50","   60","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-13","9.84",,"0.00","0.0","0.0","74","85","65","  240","  250","18.1","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-14","9.84",,"0.21","0.0","0.0","78","90","67","  350","  320","29.1","40.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-15","5.37",,"0.14","0.0","0.0","77","92","67","  180","  300","18.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-16","6.71",,"0.00","0.0","0.0","79","89","71","  200","  200","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-17","7.16",,"0.12","0.0","0.0","79","88","68","  180","  190","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-18","8.72",,"0.40","0.0","0.0","74","83","67","  180","  180","25.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-19","13.42",,"0.00","0.0","0.0","72","75","62","  220","  250","21.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-20","13.87",,"0.00","0.0","0.0","65","74","59","  280","  290","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-21","8.05",,"0.00","0.0","0.0","69","82","55","  180","  190","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-22","10.51",,"0.00","0.0","0.0","72","81","60","  180","  160","21.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-23","11.41",,"0.00","0.0","0.0","71","77","61","  280","  290","23.9","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-24","14.09",,"0.00","0.0","0.0","65","75","55","  260","  250","29.1","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-25","8.50",,"0.00","0.0","0.0","63","72","59","  330","  310","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-26","6.26",,"0.00","0.0","0.0","62","67","56","  340","  340","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-27","4.25",,"0.00","0.0","0.0","63","76","51","  110","  110","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-28","5.14",,"0.00","0.0","0.0","65","72","56","  100","  240","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-29","6.04",,"0.74","0.0","0.0","68","70","63","   30","  130","13.0","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-30","4.03",,"0.00","0.0","0.0","68","77","62","  100","   70","8.9","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-08-31","2.68",,"0.00","0.0","0.0","71","85","60","  230","  210","13.0","18.1"
